# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1073.1000 M1 618834 2 1041.1000 p14 p13 282 N p14->c58->p13
1087.2000 M24 559729 4 389.2000 c57 p11 293 N c57->w83->c49->w81->p11
1272.4000 M6 661032 4 1102.4000 p33 w90 281 N p33->w119->c78->c47->w90
1331.9000 M14 720934 1 926.9000 c71 w91 284 N c71->w91
1532.5000 M29 639593 1 680.5000 w115 c75 288 N w115->c75
1609.3000 M4 523257 4 1497.3000 w94 w96 275 N w94->w86->c77->c57->w96
1627.7000 M48 884863 1 190.7000 w92 c73 296 N w92->c73
1856.3000 M12 545086 2 1511.3000 c52 c62 274 N c52->p19->c62
1980.6000 M25 982211 3 1250.6000 w109 c76 279 N w109->w90->c47->c76
2038.2000 M26 546679 9 1281.2000 p8 p20 278 N p8->w108->t124->t123->t121->c45->w80->w105->c70->p20
2056.0000 M21 519301 3 1447.0000 w80 c63 275 N w80->t120->p36->c63
2186.6000 M44 568074 2 873.6000 c66 c52 285 N c66->w118->c52
2278.6000 M9 587686 8 2013.6000 p26 w93 266 N p26->c77->p29->p8->w108->p5->t122->c40->w93
2301.2000 M17 790517 3 1803.2000 p27 c78 269 N p27->c68->p21->c78
2303.7000 M7 612010 5 2100.7000 c46 c78 264 N c46->t120->c77->c55->p21->c78
2538.1000 M68 649807 1 513.1000 c57 w108 291 N c57->w108
2665.8000 M40 572441 1 1481.8000 c51 w89 275 N c51->w89
2675.1000 M63 895682 1 787.1000 p15 c69 286 N p15->c69
2694.9000 M18 640222 5 2171.9000 c40 p15 263 N c40->p38->c57->w96->c60->p15
2815.8000 M88 607095 1 188.8000 p10 c42 296 N p10->c42
2883.3000 M10 863541 5 2592.3000 c75 p23 256 N c75->w104->p0->c53->c65->p23
3195.7000 M22 854050 2 2555.7000 c77 t123 257 N c77->c45->t123
3324.2000 M13 693107 7 2945.2000 w96 w98 250 N w96->w118->c61->p21->c66->w102->c45->w98
3348.5000 M11 562047 4 3028.5000 c40 p13 249 N c40->c51->p21->p20->p13
3377.9000 M38 698725 2 2256.9000 w91 c55 262 N w91->c41->c55
3485.4000 M45 506581 1 2140.4000 p37 p25 264 N p37->p25
3732.9000 M28 627290 6 2914.9000 c63 c74 251 N c63->w83->p7->w80->w114->p11->c74
3836.5000 M97 595414 2 927.5000 p10 c60 284 N p10->w86->c60
3840.2000 M15 991397 6 3409.2000 t122 w91 243 N t122->w85->p36->w83->p32->c63->w91
3842.6000 M19 580040 4 3285.6000 w88 w91 245 N w88->c51->w117->c63->w91
3893.8000 M8 913877 4 3660.8000 w97 c48 238 N w97->w94->c68->t121->c48
3940.1000 M36 612761 5 2880.1000 w114 w111 251 N w114->w80->w105->p38->c64->w111
3949.0000 M23 555510 4 3280.0000 p15 c64 245 N p15->w119->p33->p34->c64
4260.3000 M57 601479 2 2553.3000 c43 t121 257 N c43->c79->t121
4389.8000 M80 626408 1 2002.8000 w87 c51 266 N w87->c51
4400.9000 M5 874671 3 4256.9000 c54 w101 229 N c54->c77->c66->w101
4402.8000 M39 983915 3 3248.8000 p17 c73 245 N p17->c58->c78->c73
4442.1000 M49 955987 2 2977.1000 w85 c79 250 N w85->w87->c79
4560.0000 M61 640531 3 2734.0000 w119 c54 254 N w119->w88->p19->c54
4568.5000 M71 769870 5 2444.5000 c49 p8 259 N c49->w108->t123->t124->p35->p8
4598.3000 M20 773543 3 4016.3000 c55 p6 233 N c55->c50->p12->p6
4602.1000 M46 636051 2 3224.1000 p32 p24 246 N p32->c49->p24
4602.2000 M3 968122 7 4518.2000 t123 p6 224 N t123->p1->w83->w108->p8->c67->p12->p6
4605.2000 M70 766484 1 2514.2000 p24 c49 258 N p24->c49
4641.3000 M16 875016 4 4177.3000 c65 p29 230 N c65->w112->p9->p12->p29
4651.1000 M41 838158 4 3435.1000 p6 c46 242 N p6->w93->w119->p15->c46
4655.3000 M43 596711 4 3374.3000 p27 c79 243 N p27->w118->p39->w86->c79
4727.1000 M73 817551 2 2545.1000 p30 c41 257 N p30->w81->c41
4980.3000 M79 884910 5 2618.3000 w102 p28 256 N w102->t122->t125->t124->c45->p28
5010.7000 M152 903589 1 496.7000 w93 p2 291 N w93->p2
5029.7000 M105 744700 4 1889.7000 w85 c66 268 N w85->c42->c40->c65->c66
5035.8000 M35 998232 3 4000.8000 c76 w81 233 N c76->w102->t122->w81
5037.0000 M133 564059 2 1076.0000 w109 p9 282 N w109->w107->p9
5039.5000 M93 592981 5 2250.5000 w88 p14 262 N w88->w93->p4->c66->c48->p14
5110.9000 M58 837610 2 3371.9000 w87 w101 243 N w87->w118->w101
5220.6000 M89 616020 4 2560.6000 w84 c61 257 N w84->w101->w88->w93->c61
5237.6000 M81 660867 2 2817.6000 p18 w103 253 N p18->w85->w103
5405.3000 M64 679024 1 3490.3000 w87 c75 241 N w87->c75
5418.9000 M87 990325 5 2825.9000 p34 t121 252 N p34->p1->w98->p25->c48->t121
5602.1000 M82 985912 3 3152.1000 p35 w102 247 N p35->w82->t125->w102
5713.7000 M59 562758 1 3944.7000 p24 p20 234 N p24->p20
5721.9000 M67 922010 3 3723.9000 w104 c74 237 N w104->w94->c46->c74
5750.1000 M117 588091 3 2256.1000 w116 p18 262 N w116->w102->t124->p18
5927.5000 M34 844772 7 4920.5000 c55 w106 217 N c55->c50->t122->p5->p11->p38->c64->w106
5974.8000 M65 628836 5 4030.8000 w92 p37 232 N w92->t125->p18->p38->p16->p37
6085.7000 M52 891919 2 4525.7000 c44 w106 224 N c44->p34->w106
6318.7000 M108 530235 4 3089.7000 w90 w101 248 N w90->c65->p37->p9->w101
6348.7000 M106 967044 1 3183.7000 w96 c64 246 N w96->c64
6366.1000 M104 930082 3 3252.1000 p21 p9 245 N p21->p3->c75->p9
6368.4000 M169 610098 2 1359.4000 c41 t120 277 N c41->p13->t120
6474.6000 M27 707738 5 5689.6000 c64 w117 205 N c64->c47->w86->p39->c58->w117
6590.3000 M113 667772 2 3210.3000 c52 c44 246 N c52->w115->c44
6591.1000 M144 674617 1 2317.1000 c65 w113 261 N c65->w113
6670.4000 M167 798197 1 1722.4000 c67 c44 271 N c67->c44
6682.4000 M141 518416 1 2491.4000 c50 p38 258 N c50->p38
6686.0000 M217 918433 1 256.0000 w91 p32 295 N w91->p32
6764.3000 M75 838158 1 4525.3000 p25 t123 224 N p25->t123
6802.0000 M116 972891 2 3337.0000 p2 w89 244 N p2->p4->w89
6872.5000 M72 625366 2 4720.5000 c78 p18 221 N c78->p23->p18
6908.2000 M98 727857 2 3970.2000 w116 c56 233 N w116->c70->c56
6958.0000 M66 762094 5 4985.0000 w87 p21 216 N w87->w85->w118->p39->w86->p21
6983.5000 M95 563385 3 4133.5000 w92 c77 231 N w92->w106->p21->c77
7005.6000 M131 516636 1 3099.6000 c63 p11 248 N c63->p11
7006.7000 M51 797770 4 5478.7000 p5 c53 208 N p5->p11->w116->w83->c53
7045.4000 M136 846612 3 2997.4000 w101 p30 250 N w101->p4->w89->p30
7101.3000 M94 655764 1 4281.3000 c62 p6 228 N c62->p6
7327.1000 M190 535919 2 1690.1000 w110 w108 271 N w110->c46->w108
