# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1331.9000 M14 720934 1 926.9000 c71 w91 284 N c71->w91
1532.5000 M29 639593 1 680.5000 w115 c75 288 N w115->c75
1627.7000 M48 884863 1 190.7000 w92 c73 296 N w92->c73
2186.6000 M44 568074 2 873.6000 c66 c52 285 N c66->w118->c52
2251.1000 M5 874671 4 2107.1000 c54 w101 264 N c54->c77->c66->c70->w101
2277.5000 M35 998232 3 1242.5000 c76 w81 279 N c76->c53->p0->w81
2278.6000 M9 587686 3 2013.6000 p26 w93 266 N p26->c77->c40->w93
2301.2000 M17 790517 3 1803.2000 p27 c78 269 N p27->c68->p21->c78
2538.1000 M68 649807 1 513.1000 c57 w108 291 N c57->w108
2665.6000 M40 572441 1 1481.6000 c51 w89 275 N c51->w89
2675.1000 M63 895682 1 787.1000 p15 c69 286 N p15->c69
2815.8000 M88 607095 1 188.8000 p10 c42 296 N p10->c42
2917.9000 M38 698725 4 1796.9000 w91 c55 270 N w91->c42->p19->c50->c55
2957.2000 M7 612010 1 2754.2000 c46 c78 254 N c46->c78
3089.7000 M69 580609 4 1030.7000 c58 w114 282 N c58->p0->c45->t122->w114
3129.0000 M20 773543 3 2547.0000 c55 p6 257 N c55->p21->c78->p6
3485.4000 M45 506581 1 2140.4000 p37 p25 264 N p37->p25
3585.8000 M86 667043 2 1020.8000 p16 p22 282 N p16->c60->p22
3636.4000 M19 580040 3 3079.4000 w88 w91 248 N w88->p27->c55->w91
3667.2000 M1 618834 3 3635.2000 p14 p13 239 N p14->p4->c59->p13
3733.9000 M84 745447 2 1231.9000 p29 c75 279 N p29->w116->c75
3836.5000 M97 595414 2 927.5000 p10 c60 284 N p10->w86->c60
4021.8000 M79 884910 2 1659.8000 w102 p28 272 N w102->c45->p28
4309.0000 M100 971584 3 1319.0000 c57 p15 278 N c57->p25->p37->p15
4343.6000 M28 627290 1 3525.6000 c63 c74 241 N c63->c74
4379.1000 M103 602605 2 1298.1000 p16 w87 278 N p16->c76->w87
4389.8000 M80 626408 1 2002.8000 w87 c51 266 N w87->c51
4402.8000 M39 983915 4 3248.8000 p17 c73 245 N p17->c58->w83->c78->c73
4421.5000 M58 837610 3 2682.5000 w87 w101 255 N w87->w85->c48->w101
4442.1000 M49 955987 2 2977.1000 w85 c79 250 N w85->w87->c79
4602.1000 M46 636051 2 3224.1000 p32 p24 246 N p32->c49->p24
4605.2000 M70 766484 1 2514.2000 p24 c49 258 N p24->c49
4612.7000 M61 640531 4 2786.7000 w119 c54 253 N w119->w89->p4->w110->c54
4636.5000 M107 751567 4 1437.5000 w100 w115 276 N w100->w108->w80->c45->w115
4659.2000 M13 693107 2 4280.2000 w96 w98 228 N w96->w93->w98
4727.1000 M73 817551 3 2545.1000 p30 c41 257 N p30->c57->w81->c41
4854.7000 M8 913877 3 4621.7000 w97 c48 222 N w97->w94->p25->c48
4901.9000 M89 616020 2 2241.9000 w84 c61 262 N w84->c79->c61
4910.3000 M54 953264 3 3293.3000 p17 w104 245 N p17->p15->c46->w104
4982.0000 M71 769870 3 2858.0000 c49 p8 252 N c49->c46->w100->p8
5010.7000 M152 903589 1 496.7000 w93 p2 291 N w93->p2
5037.0000 M133 564059 2 1076.0000 w109 p9 282 N w109->w107->p9
5050.6000 M99 954668 3 2085.6000 c53 c69 265 N c53->w118->w93->c69
5109.7000 M108 530235 3 1880.7000 w90 w101 268 N w90->c65->w118->w101
5217.8000 M141 518416 3 1026.8000 c50 p38 282 N c50->p13->c44->p38
5310.6000 M21 519301 2 4701.6000 w80 c63 221 N w80->t120->c63
5405.3000 M64 679024 1 3490.3000 w87 c75 241 N w87->c75
5437.2000 M18 640222 4 4914.2000 c40 p15 218 N c40->c51->p32->c63->p15
5508.6000 M23 555510 2 4839.6000 p15 c64 219 N p15->p16->c64
5550.6000 M75 838158 4 3311.6000 p25 t123 244 N p25->t125->c57->t120->t123
5553.1000 M169 610098 3 544.1000 c41 t120 290 N c41->w87->t123->t120
5569.0000 M102 825032 3 2515.0000 p13 p26 258 N p13->c66->c48->p26
5632.4000 M171 689925 2 561.4000 p16 w82 290 N p16->c75->w82
5710.5000 M59 562758 1 3941.5000 p24 p20 234 N p24->p20
5730.3000 M176 579901 2 504.3000 c69 c50 291 N c69->w80->c50
5778.5000 M67 922010 1 3780.5000 w104 c74 236 N w104->c74
5887.1000 M147 664885 3 1516.1000 c54 w116 274 N c54->w87->t122->w116
5904.0000 M82 985912 1 3454.0000 p35 w102 242 N p35->w102
5916.6000 M41 838158 2 4700.6000 p6 c46 221 N p6->w93->c46
5917.7000 M121 987656 3 2301.7000 c76 p1 261 N c76->p19->p22->p1
6049.0000 M11 562047 2 5729.0000 c40 p13 204 N c40->p38->p13
6085.7000 M52 891919 2 4525.7000 c44 w106 224 N c44->p34->w106
6182.1000 M186 648681 2 665.1000 p7 w90 288 N p7->c55->w90
6313.4000 M36 612761 1 5253.4000 w114 w111 212 N w114->w111
6348.7000 M106 967044 1 3183.7000 w96 c64 246 N w96->c64
6366.1000 M104 930082 3 3252.1000 p21 p9 245 N p21->p3->c75->p9
6379.7000 M184 753114 1 922.7000 c78 p26 284 N c78->p26
6431.0000 M93 592981 2 3642.0000 w88 p14 239 N w88->c40->p14
6453.1000 M131 516636 3 2547.1000 c63 p11 257 N c63->p27->t120->p11
6571.7000 M92 799189 3 3815.7000 w114 c63 236 N w114->p38->w80->c63
6590.3000 M113 667772 2 3210.3000 c52 c44 246 N c52->w115->c44
6591.1000 M144 674617 1 2317.1000 c65 w113 261 N c65->w113
6598.0000 M4 523257 2 6486.0000 w94 w96 191 N w94->p26->w96
6613.4000 M168 635411 3 1635.4000 w82 c45 272 N w82->t125->w117->c45
6670.4000 M167 798197 1 1722.4000 c67 c44 271 N c67->c44
6686.0000 M217 918433 1 256.0000 w91 p32 295 N w91->p32
6712.3000 M65 628836 3 4768.3000 w92 p37 220 N w92->w116->p3->p37
6729.6000 M129 772566 3 2883.6000 c47 p3 251 N c47->p5->c50->p3
6755.9000 M111 674532 4 3436.9000 p35 p12 242 N p35->t124->t125->c49->p12
6908.2000 M98 727857 2 3970.2000 w116 c56 233 N w116->c70->c56
6935.6000 M209 714314 2 741.6000 w100 t123 287 N w100->w84->t123
7024.9000 M182 706440 2 1620.9000 c77 c69 272 N c77->p15->c69
7045.6000 M30 678625 4 6164.6000 c54 w83 197 N c54->p27->c59->w95->w83
7048.5000 M62 745934 4 5193.5000 w98 w109 213 N w98->c63->c54->c66->w109
7075.7000 M198 611919 2 1194.7000 p19 t124 280 N p19->w85->t124
7093.3000 M55 928171 4 5447.3000 p2 w90 209 N p2->p10->w109->w107->w90
7096.1000 M12 545086 2 6751.1000 c52 c62 187 N c52->p31->c62
7100.5000 M94 655764 1 4280.5000 c62 p6 228 N c62->p6
7142.2000 M164 659543 3 2284.2000 p15 c54 261 N p15->c61->c59->c54
7254.4000 M6 661032 4 7084.4000 p33 w90 181 N p33->w119->c78->w89->w90
7460.4000 M146 758878 1 3119.4000 w112 w88 248 N w112->w88
7521.9000 M219 830559 1 1025.9000 p28 w82 282 N p28->w82
7567.1000 M120 832182 1 3980.1000 p32 w92 233 N p32->w92
7569.8000 M77 598670 2 5271.8000 c46 p33 212 N c46->p14->p33
7582.8000 M53 883685 3 5996.8000 w102 w111 200 N w102->p36->w82->w111
7595.0000 M206 584973 4 1481.0000 t121 w107 275 N t121->c55->p7->c73->w107
7621.4000 M116 972891 4 4156.4000 p2 w89 230 N p2->p10->w109->w107->w89
7624.0000 M158 640674 3 2932.0000 w105 w107 251 N w105->w106->w89->w107
7680.3000 M233 908572 4 770.3000 c60 p33 287 N c60->p29->p27->c53->p33
7819.4000 M137 650680 2 3746.4000 p6 c43 237 N p6->p29->c43
8025.2000 M50 976458 2 6527.2000 p33 c76 191 N p33->w119->c76
8050.4000 M252 993036 2 573.4000 c65 c75 290 N c65->w118->c75
8061.9000 M228 852533 1 1300.9000 w99 p20 278 N w99->p20
8175.8000 M159 998913 1 3456.8000 p14 w92 242 N p14->w92
8181.5000 M145 549490 4 3874.5000 w105 w81 235 N w105->c54->c45->c43->w81
8194.7000 M24 559729 4 7496.7000 c57 p11 175 N c57->w83->c49->c69->p11
8362.4000 M181 569604 3 2983.4000 p6 c42 250 N p6->p31->p4->c42
8384.0000 M211 725483 2 2128.0000 c69 p5 264 N c69->w99->p5
8399.4000 M214 723116 2 2051.4000 c43 c76 265 N c43->c41->c76
8449.6000 M199 567634 1 2536.6000 p27 w88 257 N p27->w88
8458.3000 M16 875016 1 7994.3000 c65 p29 166 N c65->p29
8561.7000 M128 883370 4 4745.7000 p26 c55 220 N p26->c75->w115->c65->c55
8600.2000 M83 619743 4 6123.2000 p16 p15 197 N p16->c60->w109->c42->p15
8692.8000 M149 642191 3 4269.8000 p22 w95 228 N p22->c58->w103->w95
8742.7000 M157 514049 2 4082.7000 w115 w114 231 N w115->c43->w114
8777.1000 M259 561706 1 1086.1000 c46 p14 281 N c46->p14
8822.5000 M135 610314 4 4800.5000 p27 c57 219 N p27->p25->p28->c46->c57
8828.4000 M187 827135 2 3284.4000 w114 w110 245 N w114->c59->w110
8844.4000 M245 569042 2 1569.4000 c62 p9 273 N c62->p26->p9
8850.6000 M81 660867 3 6430.6000 p18 w103 192 N p18->w80->w108->w103
8867.6000 M122 656381 3 5226.6000 c77 w112 212 N c77->p30->p23->w112
8890.8000 M148 689890 4 4493.8000 c75 w84 225 N c75->w115->c44->p15->w84
8911.1000 M173 664855 4 3779.1000 w118 c46 237 N w118->c73->w112->p26->c46
8911.2000 M112 952005 2 5559.2000 p12 p28 207 N p12->p1->p28
9061.2000 M142 541080 4 4843.2000 w99 w101 219 N w99->p10->t121->p22->w101
9097.1000 M10 863541 2 8806.1000 c75 p23 153 N c75->c70->p23
9159.3000 M267 864355 1 1244.3000 c74 c42 279 N c74->c42
9168.5000 M179 767122 1 3850.5000 p0 w94 235 N p0->w94
9327.5000 M15 991397 4 8896.5000 t122 w91 151 N t122->w85->p36->w83->w91
9349.8000 M57 601479 3 7642.8000 c43 t121 172 N c43->w119->w89->t121
9356.6000 M273 589551 2 1272.6000 c58 p36 278 N c58->c48->p36
9357.6000 M33 729461 3 8381.6000 p24 p0 160 N p24->c61->c62->p0
9437.2000 M208 501446 4 3268.2000 w91 t120 245 N w91->p32->p33->c53->t120
9460.2000 M271 998284 2 1434.2000 w113 w87 276 N w113->w91->w87
9481.0000 M313 803896 3 246.0000 p37 c50 295 N p37->w87->w91->c50
9512.5000 M191 547102 3 3841.5000 p20 c67 235 N p20->w106->w105->c67
9557.0000 M161 972439 3 4779.0000 w114 c46 220 N w114->c45->w100->c46
9585.7000 M162 697955 2 4781.7000 p35 w112 220 N p35->c55->w112
9592.3000 M96 821242 2 6711.3000 c65 t124 188 N c65->p3->t124
9680.3000 M265 731976 1 1826.3000 p15 w107 269 N p15->w107
9724.2000 M230 918174 3 2905.2000 p34 c43 251 N p34->p16->w100->c43
9727.0000 M192 803181 4 4026.0000 p18 c73 232 N p18->t124->w98->w102->c73
9757.3000 M109 922600 3 6496.3000 w114 p14 191 N w114->w82->p35->p14
